timestamp,current_cpu,avg_cpu,trend,action,reason,desired_count_before,desired_count_after
2026-07-29T13:56:01.587825+00:00,30.42,25.67,RISING,NO_CHANGE,Ortalama CPU (25.7) normal aralikta,1,1
2026-07-29T13:56:33.289745+00:00,37.26,31.07,RISING,NO_CHANGE,Ortalama CPU (31.1) normal aralikta,1,1
2026-07-29T13:57:05.067467+00:00,61.5,43.06,RISING,NO_CHANGE,Ortalama CPU (43.1) normal aralikta,1,1
2026-07-29T13:57:36.634459+00:00,61.5,53.42,RISING,NO_CHANGE,Ortalama CPU (53.4) normal aralikta,1,1
2026-07-29T13:58:08.250537+00:00,58.87,60.62,RISING,NO_CHANGE,Ortalama CPU (60.6) normal aralikta,1,1
2026-07-29T13:58:40.087719+00:00,58.87,59.75,RISING,NO_CHANGE,Ortalama CPU (59.7) normal aralikta,1,1
2026-07-29T13:59:11.678359+00:00,69.96,62.57,RISING,NO_CHANGE,Ortalama CPU (62.6) normal aralikta,1,1
2026-07-29T13:59:43.382534+00:00,77.46,68.76,RISING,NO_CHANGE,Ortalama CPU (68.8) normal aralikta,1,1
2026-07-29T14:00:16.222651+00:00,81.4,76.27,RISING,SCALE_UP,Ortalama CPU (76.3) esik degerini (70) asti,1,2
2026-07-29T14:00:47.690085+00:00,85.52,81.46,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 147sn",2,2
2026-07-29T14:01:19.150661+00:00,83.71,83.54,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 116sn",2,2
2026-07-29T14:01:50.797024+00:00,72.46,80.56,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 84sn",2,2
2026-07-29T14:02:22.570131+00:00,76.96,77.71,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 53sn",2,2
2026-07-29T14:02:54.786460+00:00,66.31,71.91,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 20sn",2,2
2026-07-29T14:03:26.397615+00:00,63.21,68.83,STABLE,NO_CHANGE,Ortalama CPU (68.8) normal aralikta,2,2
